30.5,35
30.5,34
30.5,34.5
32,34.5
32,34
31,35
31,35
32,34.5
32,34.5
32,34.5
33,35
33,35
32.5,35
33,35
33,35
33.5,34.5
33.5,34.5
34,34.5
34,34.5
33.5,34.5
34,35.5
34.5,36
34.5,35
34.5,35
35,35
34.5,34.5
35,34.5
35,34.5
35,35
36,34.5
34.5,34
35,34.5
35,34
35.5,34.5
35.5,34
36,34.5
35.5,35
36.5,34.5
36.5,34
35.5,33.5
36,34
36,35
36.5,34
36.5,33.5
36.5,33.5
36,34
36,34.5
36,34.5
36,34.5
36,34
36,34.5
36.5,34.5
36.5,34
36.5,34
36.5,34
36.5,34
36.5,34
36.5,33.5
36,33.5
36.5,34
36.5,34
36,33.5
36,33.5
36.5,34
36.5,34.5
36,33.5
36,33.5
36.5,33.5
36,33.5
36,33.5
36,33.5
36,34
36,33.5
36,33.5
36,33.5
36.5,33
36,33
36,33
36.5,33
36.5,33.5
36.5,33
36,32.5
36.5,33
36.5,33
36,33
36,33
36,33
35.5,33.5
36.5,33
36.5,33
36.5,32.5
36,33
36,32.5
36.5,32.5
36,32.5
36,32.5
36.5,32.5
36,32.5
36,32.5
36,33
35.5,32.5
36,32
36,32.5
36.5,32.5
36,32
36,31.5
36,32
35.5,31.5
36,32
36,32
36,31.5
35.5,32
36,32
36,31.5
36.5,32
36,32
36,31.5
36,31.5
36,31.5
36,31
36,31.5
36,31.5
36,31
36,31
36,31.5
36.5,32
36.5,32
36.5,31.5
36,31.5
36,31.5
36,31.5
36.5,31.5
36.5,31.5
36.5,31.5
36,31.5
36.5,31.5
36.5,31
36.5,30.5
36.5,30.5
37,30.5
37,30.5
36.5,30.5
36.5,31
36.5,30.5
36.5,30.5
36,30.5
37,30.5
37,30.5
37,30
37,30
37,30
36.5,29.5
37,30
37,29.5
37.5,30
38,30
38,30
37.5,29.5
38,29.5
38,29.5
38,29.5
38.5,29
37.5,29
38,29
38.5,29.5
37.5,29
37.5,29
38.5,28.5
38.5,28.5
38.5,28.5
38.5,28.5
38,28.5
38.5,28.5
38.5,28
39,28
