125.5,-72.5
123,-70.5
123,-70.5
121,-70
121,-69.5
118,-68
119,-67.5
117.5,-66.5
117.5,-67
115,-65.5
115.5,-66
114,-64
114,-64.5
112,-63
111.5,-64
110.5,-61.5
110,-62
108.5,-60
108,-61
108,-59
108,-59
105.5,-57.5
105,-58
102.5,-57.5
103,-58.5
102,-56.5
102,-57
99.5,-56.5
100,-56.5
98,-56
98,-55.5
97.5,-55.5
97.5,-55.5
95.5,-54.5
95,-55
92.5,-55
93.5,-54.5
92.5,-55
92,-55
90.5,-55
90.5,-54.5
89,-55
89,-54.5
87.5,-54.5
88,-55
86.5,-54.5
86.5,-54.5
85,-55
85.5,-55
84.5,-54.5
84.5,-54.5
83,-55
83.5,-54.5
83,-55
83,-56
82.5,-55.5
82.5,-55.5
81,-55.5
81,-56
79.5,-55.5
80,-56
79,-56.5
79,-56
78.5,-56.5
79,-56
77.5,-56
77.5,-57
76.5,-56.5
76.5,-57
75.5,-57
76,-57
75,-58
74.5,-58
74,-58
74,-58
73.5,-58.5
73.5,-58.5
71.5,-58
72.5,-58
71.5,-59
72,-59
71.5,-58
71.5,-59
71,-59.5
70.5,-59.5
69,-59
69,-58.5
68.5,-59
68,-59.5
67.5,-60
67,-60
67.5,-60
67,-60
66.5,-60
66.5,-60
66,-60
65.5,-59.5
64.5,-59.5
64.5,-59.5
65.5,-61.5
65.5,-61.5
65,-60
65,-59.5
64,-59.5
64.5,-59
64,-59
